x1,x2,y
0.5498009920120239,0.4051965475082397,1
-0.458512902,5.180309295654297,0
-0.417132378,-1.465176344,1
0.342034101486206,3.0284528732299805,1
5.844162940979004,3.220126152038574,1
-0.161563754,0.4311150312423706,0
1.402873992919922,1.6474956274032593,1
-1.994185448,-2.684869766,1
6.184401512145996,2.120271921157837,1
0.548710823059082,2.012606143951416,1
-2.702417374,-1.282680035,1
2.7626097202301025,-0.945152044,0
6.127092361450195,-2.254043102,0
1.9238513708114624,3.738555908203125,1
0.4646617174148559,1.222449541091919,1
2.8595738410949707,0.6397724151611328,1
2.1957736015319824,3.728181123733521,1
5.96088981628418,-1.52859807,0
-0.601623654,-2.923387289,1
2.390498638153076,-2.159959078,0
-0.13133049,5.589282989501953,0
2.963742017745972,6.143081188201904,1
-1.531258821,-1.063373089,1
-1.11677289,-1.968345046,1
0.2410900592803955,-2.040424824,0
4.436373710632324,0.3468489646911621,1
6.681551933288574,2.577589750289917,1
4.368014335632324,6.070592880249023,1
0.8746463060379028,3.636365413665772,1
4.745562076568604,-0.095327497,0
-0.713313818,-1.424747705,1
-1.628617048,5.534789085388184,0
-0.616527796,4.579744815826416,0
1.1100035905838013,3.1244468688964844,1
5.249421119689941,0.637589693069458,1
-1.913537383,3.7318384647369385,0
0.9483933448791504,2.876749038696289,1
2.987792015075684,4.343137741088867,1
-0.762138963,-1.664253473,1
-2.151807547,6.441620826721191,0
0.7650083303451538,3.1775527000427246,1
1.315189003944397,4.908287525177002,1
3.0005061626434326,6.695760726928711,1
6.834473133087158,-2.092652798,0
4.236393928527832,-0.153080225,0
-2.086952209,2.759285449981689,0
3.782867908477783,-1.04057014,0
-2.000322342,-0.038928986,1
-1.813715696,-0.093041062,1
0.8484357595443726,-2.759774923,0
4.117002964019775,6.748598098754883,1
0.3492051362991333,-1.876344681,0
1.2022757530212402,-0.198307633,0
-1.093280315,-0.798488259,1
-0.923480392,-2.855741978,1
1.1726313829421997,-2.278407097,0
5.473592758178711,1.3159948587417605,1
-2.957232475,0.8719915151596069,0
3.70439887046814,-1.987468004,0
-0.930176377,5.625762462615967,0
-1.761726141,-2.067774534,1
-2.726116657,-0.606845021,1
0.4616951942443847,-1.346239448,0
2.770256519317627,0.3872859477996826,1
